time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.00280115791e-06,-7.89391991702e-08,10.0065585772,6.28287660696,0.000648361983062,0.0,-7.92134699953e-05,-1.77894381452e-05,0.218602166525,-0.0181940553788,0.0265459968627,0.0,472.455211462687,474.4970738132368,473.29873707615286,471.89671610698974
0.12000000000000001,-2.58745398564e-05,-1.18589497004e-05,10.0231299599,6.28186753829,0.00244242693515,0.0,-0.000927122606443,-0.000484229374277,0.333749667592,-0.0141985148297,0.0358835909082,0.0,441.6643592997711,442.43397006310886,441.2774464046112,441.6071709586813
0.18,-0.000132764917676,-6.68014105929e-05,10.0435673866,6.2804285548,0.00441536651796,0.0,-0.00282068345375,-0.0014299319805,0.347492955934,-0.0653470252886,0.0260802498959,0.0,409.51609092475786,408.64380359943834,410.6810493889897,406.1189985283026
0.23999999999999996,-0.000405537238279,-0.0002289939798,10.0686667543,6.27628747502,0.00635515489442,0.0,-0.00646348949798,-0.00441098322694,0.489099308804,-0.0776085024639,0.0425628752705,0.0,450.0210636662423,451.35341657437425,449.93218476777884,448.9349319396742
0.3,-0.000911606492066,-0.000627923079739,10.0976469506,6.27140904489,0.00912505292453,0.0,-0.0106335502645,-0.00929271074393,0.476907390855,-0.089973260389,0.0525378346733,0.0,399.4135747556535,400.3236262525672,400.6778028830083,399.5460310561054
0.36000000000000004,-0.00179598254305,-0.00150946051813,10.1339691654,6.26611066055,0.0123410320506,0.0,-0.0192432629703,-0.020759660891,0.733690336686,-0.085167377164,0.0556421930992,0.0,483.30779613318634,483.5433197308104,485.21026833771793,485.5651028014881
0.4200000000000001,-0.00326872890582,-0.00319756746016,10.1848814239,6.26071137963,0.0156126805591,0.0,-0.0302468497193,-0.036141395729,0.963202101026,-0.101975621412,0.0522002046782,0.0,476.3366681678905,476.07518036759905,478.1682783703084,476.8799728202951
0.48000000000000015,-0.00546535404245,-0.00592089483215,10.2485882753,6.25560440983,0.018700132568,0.0,-0.043333096157,-0.0552706467812,1.16015812573,-0.0636534004801,0.049929783902,0.0,468.01563057482286,467.8404612666579,465.98006733108707,468.9595686919109
0.5400000000000001,-0.00855509943147,-0.00995614935945,10.3259669174,6.25125546359,0.0215256584924,0.0,-0.0600192486791,-0.0797258533111,1.41882253708,-0.103076822067,0.0407103773928,0.0,486.9899428921099,486.3010325717531,487.0688829624916,484.10760098693396
0.6000000000000002,-0.0126354204621,-0.015459061109,10.4151974229,6.24556159383,0.0244216615601,0.0,-0.0762778921864,-0.104332532547,1.55532174258,-0.0821870175056,0.0602073682477,0.0,449.96510748138326,451.54190853176357,449.41190036479134,451.0940051153165
0.6600000000000003,-0.0177865997625,-0.0225997247874,10.5137312446,6.24142962515,0.0280555315087,0.0,-0.0958312457584,-0.13418197324,1.72885959457,-0.0505674845203,0.0612690531221,0.0,461.4315849674938,461.51783946219456,461.76814370860984,464.25175463545327
0.7200000000000003,-0.0240562839277,-0.0314158040915,10.6178701547,6.23830685493,0.0316880158472,0.0,-0.113484062679,-0.159960899223,1.74239239472,-0.0551796502713,0.0590455822646,0.0,412.0426542621548,411.84897268857185,412.002901458409,411.592949429382
0.7800000000000004,-0.0314869348796,-0.0418872427542,10.7239458327,6.23511627243,0.0350271977787,0.0,-0.134529271198,-0.189391238468,1.79335578267,-0.0494453191922,0.0478210320397,0.0,424.5274043086073,423.56548044701816,424.6032276238294,425.0928486684561
0.8400000000000004,-0.0403228365836,-0.0542936009286,10.8353176353,6.23235940706,0.0384585150005,0.0,-0.160332258875,-0.224446168195,1.91880268258,-0.0397396884563,0.0713169835737,0.0,447.61771462170884,449.52770353061237,447.9662627997053,448.7534902388364
0.9000000000000005,-0.0507848203205,-0.0688595982448,10.9541960384,6.2299445282,0.0425040015665,0.0,-0.188834187149,-0.261329651213,2.04355812278,-0.0412841712807,0.0582140365131,0.0,448.8680133084003,447.8068006829756,449.2494329914789,449.12337369679955
0.9600000000000005,-0.0629528707024,-0.0855813535308,11.0785204772,6.22761318632,0.0455815553516,0.0,-0.217083765521,-0.296286708158,2.10045293981,-0.034395394229,0.031515935611,0.0,428.47410057751955,426.2001046516185,427.7886663123252,428.37400389557104
1.0200000000000005,-0.077118224291,-0.104746298447,11.2116481396,6.22587070648,0.0473586232301,0.0,-0.255299219089,-0.34275073674,2.33664874772,-0.020049764388,0.0255228745849,0.0,483.43361216390457,482.9820397435414,482.16151900163777,483.2438323368737
1.0800000000000005,-0.0933688803746,-0.126436792074,11.3537006252,6.22496078087,0.0488747977589,0.0,-0.286531274383,-0.380360536618,2.39828439041,-0.00684928780452,0.024758172854,0.0,431.265094848449,431.2006319982976,429.4443083820272,430.5626010011379
1.1400000000000006,-0.111518456127,-0.150393926136,11.4993525464,6.22458842305,0.050033819076,0.0,-0.318579784883,-0.418243296763,2.45663745376,-0.00494935235126,0.00527111303639,0.0,430.85281944074273,429.2021287541828,429.6477135577636,429.8088630040564
1.2000000000000006,-0.131702554641,-0.176739919407,11.6503520928,6.22441669281,0.0503838149669,0.0,-0.354247111299,-0.459968442232,2.5764034319,0.00101592215571,0.0069345558991,0.0,449.5674017508613,449.7020617286704,449.50534137820046,449.98853763131683
1.2600000000000007,-0.153869424142,-0.205400133495,11.8052644056,6.22417269945,0.0507676847841,0.0,-0.384685116284,-0.495380104719,2.58730441352,-0.0169097936259,0.00530213829416,0.0,414.9205232432867,414.77708436131314,416.1664359552544,414.5945079589325
